week,actual_revenue,forecast,lower,upper,is_holdout_forecast
2017-10-02,1215556.0,6945744.49,5299424.02,8515275.91,False
2017-10-09,7701618.0,6728678.39,4999312.74,8577219.34,False
2017-10-16,7041321.0,7115109.89,5435839.26,8790845.17,False
2017-10-23,8670858.0,7691394.52,5947867.92,9405413.75,False
2017-10-30,5786420.0,7972301.8,6286414.67,9723313.58,False
2017-11-06,7410640.0,7923565.44,6316677.99,9606907.64,False
2017-11-13,7868169.0,7949730.24,6259636.57,9615871.97,False
2017-11-20,8639645.0,8372820.99,6661888.68,10087174.26,False
2017-11-27,8744846.0,8984509.31,7268407.71,10645058.27,False
2017-12-04,8351540.0,9173550.83,7415586.55,10811869.07,False
2017-12-11,8831855.0,8522997.34,6772604.04,10212614.7,False
2017-12-18,7292598.0,7286722.39,5510638.25,8918648.8,False
2017-12-25,6012586.0,6269858.85,4620632.16,7952713.28,False
2018-01-01,7096496.0,6202672.19,4561354.14,8073082.32,False
2018-01-08,6208136.0,7152875.93,5503433.93,8910896.38,False
2018-01-15,11176345.0,8471922.33,6735146.13,10216631.41,False
2018-01-22,7701941.0,9307681.7,7852502.34,11039168.02,False
2018-01-29,13152255.0,9257099.11,7517525.82,10846597.99,False
2018-02-05,8576328.0,8636782.89,6952125.53,10262760.33,False
2018-02-12,9395891.0,8165610.73,6431029.06,9865369.45,False
2018-02-19,7519320.0,8328235.77,6640155.59,10107541.74,False
2018-02-26,9524090.0,8955074.2,7168223.03,10694560.18,False
2018-03-05,9148521.0,9384276.18,7593500.88,11113512.22,False
2018-03-12,10870989.0,9076883.67,7441091.12,10615751.76,False
2018-03-19,9843628.0,8128438.74,6501723.2,9801022.48,False
2018-03-26,5736520.0,7202524.6,5533474.16,8911689.23,False
2018-04-02,7120948.0,6932659.69,5086717.35,8620320.44,False
2018-04-09,9641319.0,7357174.19,5714338.77,9147786.87,False
2018-04-16,9309883.0,7925920.45,6341840.73,9682627.03,False
2018-04-23,6815252.0,8053375.29,6356881.75,9653849.69,False
2018-04-30,8751554.0,7654992.91,5907389.83,9399779.89,False
2018-05-07,6551765.0,7150803.05,5555751.28,8886742.86,False
2018-05-14,7542705.0,6991239.4,5229704.45,8720066.73,False
2018-05-21,6253003.0,7236656.39,5467979.22,8989768.0,False
2018-05-28,8148141.0,7599309.63,5876185.56,9260968.86,False
2018-06-04,8675342.0,7816246.05,6144660.52,9694274.03,False
