user_id,recency_days,frequency,monetary_inr,r_score,f_score,m_score,segment,cluster
1,591,2,1672.0,2,2,2,At Risk,0
2,694,3,4061.0,1,4,3,Potential Loyalist,1
3,409,1,21542.0,2,1,4,Potential Loyalist,0
4,507,1,102.0,2,1,1,Lost,0
5,703,2,52047.0,1,2,4,Potential Loyalist,1
6,624,1,83.0,2,1,1,Lost,0
8,372,1,241.0,3,1,1,At Risk,0
9,233,3,7940.0,3,4,3,Loyal,1
10,68,2,2773.0,4,2,3,Loyal,1
13,148,3,3819.0,4,4,3,Champions,1
14,697,1,20713.0,1,1,4,At Risk,0
15,311,2,1931.0,3,2,2,Potential Loyalist,1
16,900,1,28269.0,1,1,4,At Risk,0
17,698,1,940.0,1,1,2,Lost,0
18,824,2,18102.0,1,2,4,Potential Loyalist,1
19,989,1,19690.0,1,1,4,At Risk,0
20,241,3,4301.0,3,4,3,Loyal,1
21,264,2,403.0,3,2,1,At Risk,0
22,372,2,62700.0,3,2,4,Loyal,1
23,598,1,384.0,2,1,1,Lost,0
25,296,1,11120.0,3,1,4,Potential Loyalist,0
26,815,1,6940.0,1,1,3,At Risk,0
28,138,2,695.0,4,2,2,Potential Loyalist,1
29,312,2,1704.0,3,2,2,Potential Loyalist,1
30,292,3,4374.0,3,4,3,Loyal,1
31,288,3,982.0,3,4,2,Loyal,1
32,64,1,894.0,4,1,2,Potential Loyalist,0
36,317,3,602898.0,3,4,4,Champions,1
37,326,3,13194.0,3,4,4,Champions,1
38,72,1,46.0,4,1,1,At Risk,0
39,799,3,5713.0,1,4,3,Potential Loyalist,1
41,360,2,104343.0,3,2,4,Loyal,1
45,943,1,162.0,1,1,1,Lost,0
47,597,1,7343.0,2,1,3,At Risk,0
48,326,1,9380.0,3,1,4,Potential Loyalist,0
49,891,1,171.0,1,1,1,Lost,0
50,331,1,6093.0,3,1,3,Potential Loyalist,0
51,159,3,4926.0,4,4,3,Champions,1
52,829,1,6310.0,1,1,3,At Risk,0
56,989,1,130.0,1,1,1,Lost,0
57,880,1,162.0,1,1,1,Lost,0
58,74,2,412.0,4,2,1,Potential Loyalist,1
59,17,3,4333.0,4,4,3,Champions,1
60,170,1,2671.0,4,1,3,Potential Loyalist,0
61,466,2,208.0,2,2,1,At Risk,0
62,995,1,185.0,1,1,1,Lost,0
63,355,2,135.0,3,2,1,At Risk,0
66,716,2,16278.0,1,2,4,Potential Loyalist,1
67,157,2,847.0,4,2,2,Potential Loyalist,1
68,534,3,8500.0,2,4,3,Loyal,1
69,204,1,116.0,3,1,1,At Risk,0
70,451,2,85070.0,2,2,4,Potential Loyalist,1
71,325,1,588.0,3,1,2,At Risk,0
72,614,1,431.0,2,1,2,At Risk,0
73,79,1,287.0,4,1,1,At Risk,0
75,885,1,1292.0,1,1,2,Lost,0
76,780,1,1468.0,1,1,2,Lost,0
77,957,1,4454.0,1,1,3,At Risk,0
79,256,4,13060.0,3,4,4,Champions,1
80,570,2,565.0,2,2,2,At Risk,0
82,109,3,21453.0,4,4,4,Champions,1
83,358,2,343.0,3,2,1,At Risk,0
84,38,2,547.0,4,2,2,Potential Loyalist,1
85,360,3,366.0,3,4,1,Potential Loyalist,1
87,387,4,3333.0,2,4,3,Loyal,1
89,15,2,8537.0,4,2,3,Loyal,1
90,926,2,44385.0,1,2,4,Potential Loyalist,1
91,221,2,5732.0,3,2,3,Potential Loyalist,1
92,739,1,162.0,1,1,1,Lost,0
93,600,3,35287.0,2,4,4,Loyal,1
94,483,2,328.0,2,2,1,At Risk,0
97,246,4,102227.0,3,4,4,Champions,1
98,53,1,745.0,4,1,2,Potential Loyalist,0
99,746,2,1885.0,1,2,2,At Risk,0
101,61,3,4704.0,4,4,3,Champions,1
102,628,3,5380.0,2,4,3,Loyal,1
103,626,2,107.0,2,2,1,At Risk,0
104,316,3,67653.0,3,4,4,Champions,1
107,649,1,227.0,1,1,1,Lost,0
109,229,1,292.0,3,1,1,At Risk,0
110,417,5,9149.0,2,4,4,Loyal,1
111,722,1,176.0,1,1,1,Lost,0
112,556,1,292.0,2,1,1,Lost,0
113,360,2,10546.0,3,2,4,Loyal,1
115,456,1,782.0,2,1,2,At Risk,0
116,750,1,29356.0,1,1,4,At Risk,0
117,555,1,69.0,2,1,1,Lost,0
118,613,1,222.0,2,1,1,Lost,0
119,233,2,104472.0,3,2,4,Loyal,1
122,53,4,1028.0,4,4,2,Loyal,1
123,71,3,7380.0,4,4,3,Champions,1
124,648,1,296.0,1,1,1,Lost,0
125,745,1,1130.0,1,1,2,Lost,0
126,620,3,74001.0,2,4,4,Loyal,1
127,39,2,505.0,4,2,2,Potential Loyalist,1
128,380,2,6861.0,3,2,3,Potential Loyalist,1
129,52,3,2681.0,4,4,3,Champions,1
130,561,4,1763.0,2,4,2,Potential Loyalist,1
131,197,3,36249.0,3,4,4,Champions,1
132,204,2,333.0,3,2,1,At Risk,0
133,575,1,56.0,2,1,1,Lost,0
134,879,1,1264.0,1,1,2,Lost,0
135,442,1,667.0,2,1,2,At Risk,0
136,842,1,74.0,1,1,1,Lost,0
137,163,2,2176.0,4,2,3,Loyal,1
139,144,2,1213.0,4,2,2,Potential Loyalist,1
140,863,1,10231.0,1,1,4,At Risk,0
141,759,2,283.0,1,2,1,Lost,0
142,745,2,352.0,1,2,1,Lost,0
143,127,3,4287.0,4,4,3,Champions,1
144,85,2,1277.0,4,2,2,Potential Loyalist,1
145,102,2,35699.0,4,2,4,Loyal,1
147,464,1,34611.0,2,1,4,Potential Loyalist,0
148,519,1,102.0,2,1,1,Lost,0
149,194,3,8611.0,3,4,3,Loyal,1
150,514,1,17602.0,2,1,4,Potential Loyalist,0
152,745,1,500.0,1,1,2,Lost,0
154,64,2,54541.0,4,2,4,Loyal,1
155,180,2,19643.0,4,2,4,Loyal,1
156,652,3,1532.0,1,4,2,Potential Loyalist,1
157,227,2,46245.0,3,2,4,Loyal,1
158,313,1,352.0,3,1,1,At Risk,0
159,449,3,12301.0,2,4,4,Loyal,1
160,592,1,829.0,2,1,2,At Risk,0
161,221,2,620.0,3,2,2,Potential Loyalist,0
162,403,1,181.0,2,1,1,Lost,0
163,225,2,1861.0,3,2,2,Potential Loyalist,1
164,331,1,1861.0,3,1,2,At Risk,0
165,918,2,607.0,1,2,2,At Risk,0
166,499,3,5736.0,2,4,3,Loyal,1
167,571,2,857.0,2,2,2,At Risk,0
168,25,2,12740.0,4,2,4,Loyal,1
169,205,4,1583.0,3,4,2,Loyal,1
170,313,3,3860.0,3,4,3,Loyal,1
172,500,2,694.0,2,2,2,At Risk,0
175,169,7,66380.0,4,4,4,Champions,1
176,54,2,8232.0,4,2,3,Loyal,1
178,19,2,477.0,4,2,2,Potential Loyalist,1
179,737,1,218.0,1,1,1,Lost,0
180,781,1,6130.0,1,1,3,At Risk,0
181,74,3,413652.0,4,4,4,Champions,1
182,204,1,13889.0,3,1,4,Potential Loyalist,0
183,568,1,69.0,2,1,1,Lost,0
184,213,3,6528.0,3,4,3,Loyal,1
185,961,1,69.0,1,1,1,Lost,0
186,215,2,1889.0,3,2,2,Potential Loyalist,1
188,689,2,13158.0,1,2,4,Potential Loyalist,1
189,192,3,458.0,3,4,2,Loyal,1
190,80,1,1875.0,4,1,2,Potential Loyalist,0
191,639,2,7708.0,1,2,3,At Risk,1
192,771,2,40093.0,1,2,4,Potential Loyalist,1
193,117,3,11459.0,4,4,4,Champions,1
195,443,4,1426.0,2,4,2,Potential Loyalist,1
196,921,1,556.0,1,1,2,Lost,0
199,831,1,222.0,1,1,1,Lost,0
200,927,1,153.0,1,1,1,Lost,0
201,225,1,28269.0,3,1,4,Potential Loyalist,1
202,530,2,3102.0,2,2,3,Potential Loyalist,0
203,141,2,1032.0,4,2,2,Potential Loyalist,1
204,107,1,181.0,4,1,1,At Risk,0
206,667,1,222.0,1,1,1,Lost,0
207,908,1,60.0,1,1,1,Lost,0
208,386,3,866.0,2,4,2,Potential Loyalist,1
209,313,2,547.0,3,2,2,Potential Loyalist,0
210,124,1,7759.0,4,1,3,Potential Loyalist,0
212,403,2,11556.0,2,2,4,Potential Loyalist,1
213,639,1,199.0,1,1,1,Lost,0
214,213,4,4676.0,3,4,3,Loyal,1
215,295,4,41921.0,3,4,4,Champions,1
216,386,2,533.0,2,2,2,At Risk,0
218,283,4,62658.0,3,4,4,Champions,1
219,45,4,2944.0,4,4,3,Champions,1
220,22,4,113524.0,4,4,4,Champions,1
221,256,2,1388.0,3,2,2,Potential Loyalist,1
223,809,1,1593.0,1,1,2,Lost,0
225,309,3,7129.0,3,4,3,Loyal,1
226,627,1,8704.0,2,1,3,At Risk,0
227,87,2,47305.0,4,2,4,Loyal,1
228,963,2,458.0,1,2,2,At Risk,0
229,409,3,3338.0,2,4,3,Loyal,1
230,582,1,2190.0,2,1,3,At Risk,0
231,177,4,7323.0,4,4,3,Champions,1
232,879,1,144.0,1,1,1,Lost,0
233,752,2,6037.0,1,2,3,At Risk,0
235,129,3,8671.0,4,4,3,Champions,1
237,635,2,11393.0,1,2,4,Potential Loyalist,1
239,177,2,745.0,4,2,2,Potential Loyalist,1
240,31,2,9060.0,4,2,4,Loyal,1
241,344,2,1542.0,3,2,2,Potential Loyalist,0
242,946,2,190.0,1,2,1,Lost,0
243,312,3,12394.0,3,4,4,Champions,1
245,745,1,130.0,1,1,1,Lost,0
246,512,1,773.0,2,1,2,At Risk,0
247,120,3,55588.0,4,4,4,Champions,1
248,571,1,699.0,2,1,2,At Risk,0
249,640,2,194.0,1,2,1,Lost,0
250,409,2,588.0,2,2,2,At Risk,0
251,166,2,356.0,4,2,1,Potential Loyalist,0
252,136,2,329.0,4,2,1,Potential Loyalist,0
253,136,3,856.0,4,4,2,Loyal,1
254,585,1,28269.0,2,1,4,Potential Loyalist,0
256,773,1,14574.0,1,1,4,At Risk,0
257,43,2,444.0,4,2,2,Potential Loyalist,1
258,414,2,16102.0,2,2,4,Potential Loyalist,1
259,929,1,1736.0,1,1,2,Lost,0
260,145,5,38736.0,4,4,4,Champions,1
261,507,2,12755.0,2,2,4,Potential Loyalist,1
262,450,1,97.0,2,1,1,Lost,0
263,506,3,3644.0,2,4,3,Loyal,1
264,507,1,171.0,2,1,1,Lost,0
265,919,1,9542.0,1,1,4,At Risk,0
266,107,2,2005.0,4,2,3,Loyal,1
267,127,4,3963.0,4,4,3,Champions,1
269,395,3,2991.0,2,4,3,Loyal,1
272,191,1,444.0,3,1,2,At Risk,0
273,318,3,6672.0,3,4,3,Loyal,1
278,82,2,129644.0,4,2,4,Loyal,1
279,479,3,23120.0,2,4,4,Loyal,1
280,942,1,449.0,1,1,2,Lost,0
281,506,2,736.0,2,2,2,At Risk,0
282,576,3,21700.0,2,4,4,Loyal,1
285,813,2,1884.0,1,2,2,At Risk,0
286,390,1,93.0,2,1,1,Lost,0
287,749,1,144.0,1,1,1,Lost,0
288,570,3,21666.0,2,4,4,Loyal,1
289,862,1,148.0,1,1,1,Lost,0
291,127,2,1676.0,4,2,2,Potential Loyalist,1
292,276,1,162.0,3,1,1,At Risk,0
293,46,1,231.0,4,1,1,At Risk,0
295,143,6,2037.0,4,4,3,Champions,1
297,52,4,34162.0,4,4,4,Champions,1
298,334,1,4417.0,3,1,3,Potential Loyalist,0
301,152,2,533.0,4,2,2,Potential Loyalist,1
302,471,1,14787.0,2,1,4,Potential Loyalist,0
303,890,1,194.0,1,1,1,Lost,0
305,934,1,12185.0,1,1,4,At Risk,0
306,347,1,4259.0,3,1,3,Potential Loyalist,0
308,369,2,2695.0,3,2,3,Potential Loyalist,1
309,407,2,13713.0,2,2,4,Potential Loyalist,1
310,463,3,6379.0,2,4,3,Loyal,1
311,901,1,282.0,1,1,1,Lost,0
312,662,1,287.0,1,1,1,Lost,0
314,677,1,111.0,1,1,1,Lost,0
315,169,2,1584.0,4,2,2,Potential Loyalist,1
316,514,2,166.0,2,2,1,At Risk,0
317,169,1,2380.0,4,1,3,Potential Loyalist,0
318,227,1,472.0,3,1,2,At Risk,0
319,82,2,115.0,4,2,1,Potential Loyalist,0
320,480,1,2009.0,2,1,3,At Risk,0
322,122,3,10606.0,4,4,4,Champions,1
323,816,1,97.0,1,1,1,Lost,0
324,163,2,727.0,4,2,2,Potential Loyalist,1
325,362,2,195.0,3,2,1,At Risk,0
326,955,1,116.0,1,1,1,Lost,0
327,761,1,1102.0,1,1,2,Lost,0
328,246,2,398.0,3,2,1,At Risk,0
329,12,4,4968.0,4,4,3,Champions,1
330,554,1,199.0,2,1,1,Lost,0
331,287,2,1046.0,3,2,2,Potential Loyalist,0
332,655,1,4352.0,1,1,3,At Risk,0
333,211,3,8375.0,3,4,3,Loyal,1
334,187,1,319.0,3,1,1,At Risk,0
335,339,2,8027.0,3,2,3,Potential Loyalist,1
336,736,2,477.0,1,2,2,At Risk,0
337,211,4,699.0,3,4,2,Loyal,1
338,316,1,1153.0,3,1,2,At Risk,0
340,712,1,486.0,1,1,2,Lost,0
344,675,1,778.0,1,1,2,Lost,0
345,246,2,519.0,3,2,2,Potential Loyalist,0
347,54,2,2273.0,4,2,3,Loyal,1
349,276,1,139.0,3,1,1,At Risk,0
350,122,2,4495.0,4,2,3,Loyal,1
352,605,3,45417.0,2,4,4,Loyal,1
353,291,1,579.0,3,1,2,At Risk,0
355,877,1,213.0,1,1,1,Lost,0
356,296,1,287.0,3,1,1,At Risk,0
357,415,3,198.0,2,4,1,Potential Loyalist,0
358,400,2,100634.0,2,2,4,Potential Loyalist,1
359,15,3,880.0,4,4,2,Loyal,1
360,211,1,83.0,3,1,1,At Risk,0
361,522,3,1115.0,2,4,2,Potential Loyalist,1
362,376,1,194.0,3,1,1,At Risk,0
363,226,2,1241.0,3,2,2,Potential Loyalist,1
365,625,1,171.0,2,1,1,Lost,0
366,633,2,1754.0,1,2,2,At Risk,0
367,304,1,7824.0,3,1,3,Potential Loyalist,0
368,925,1,56370.0,1,1,4,At Risk,0
370,32,3,254.0,4,4,1,Loyal,1
372,498,2,667.0,2,2,2,At Risk,0
373,522,2,41773.0,2,2,4,Potential Loyalist,1
374,326,2,8171.0,3,2,3,Potential Loyalist,1
376,772,1,1343.0,1,1,2,Lost,0
377,110,3,6681.0,4,4,3,Champions,1
378,289,2,103672.0,3,2,4,Loyal,1
380,243,2,792.0,3,2,2,Potential Loyalist,0
381,796,1,292.0,1,1,1,Lost,0
382,982,1,3269.0,1,1,3,At Risk,0
383,262,4,6434.0,3,4,3,Loyal,1
384,138,3,861.0,4,4,2,Loyal,1
385,218,3,54069.0,3,4,4,Champions,1
387,570,2,246.0,2,2,1,At Risk,0
390,750,2,23949.0,1,2,4,Potential Loyalist,1
391,618,3,9500.0,2,4,4,Loyal,1
394,814,1,514.0,1,1,2,Lost,0
395,793,1,208.0,1,1,1,Lost,0
396,54,2,435.0,4,2,2,Potential Loyalist,1
397,36,3,3018.0,4,4,3,Champions,1
398,127,1,56.0,4,1,1,At Risk,0
399,108,4,7209.0,4,4,3,Champions,1
401,939,1,2065.0,1,1,3,At Risk,0
